Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,1225,
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monethise information,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
