Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,13915650,
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,30187150,
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,n/a,Not applicable - heterogeneous classifiers with distinct scopes and deployment contexts; aggregate metric not meaningful.
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,n/a,Not applicable - heterogeneous classifiers with distinct scopes and deployment contexts; aggregate metric not meaningful.
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,n/a,Not applicable - heterogeneous classifiers with distinct scopes and deployment contexts; aggregate metric not meaningful.
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,13915650,
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,29975433,
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 1,99,Malicious account detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 1,99,Malicious account detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 1,100,"Malicious account detection classifier, it’s a rule-based system with a closed detection scope"
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 2,99.17,Real-time fraudulent event detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 2,99.17,Real-time fraudulent event detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 2,100,"Real-time fraudulent event detection classifier, it’s a rule-based system with a closed detection scope"
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 3,99.46,Malicious pattern detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 3,99.46,Malicious pattern detection classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 3,100,"Malicious pattern detection classifier, it’s a rule-based system with a closed detection scope"
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 4,98.04,Image-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 4,98.04,Image-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 4,100,"Image-based harmful content classifier, it’s a rule-based system with a closed detection scope"
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 5,95.57,Image-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 5,95.57,Image-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 5,100,"Image-based harmful content classifier, it’s a rule-based system with a closed detection scope"
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative - Classifier 6,95.43,Keyword-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative - Classifier 6,95.43,Keyword-based harmful content classifier
All,Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative - Classifier 6,100,"Keyword-based harmful content classifier, it’s a rule-based system with a closed detection scope"
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,n/a,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,n/a,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,n/a,
