Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,293174,
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,183125,
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,"Different teams work with different machine learning models for the purpose of content moderation, each with different accuracy, precision and recall measurements."
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,,"Different teams work with different machine learning models for the purpose of content moderation, each with different accuracy, precision and recall measurements."
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,"Different teams work with different machine learning models for the purpose of content moderation, each with different accuracy, precision and recall measurements."
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,293174,
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,181583,
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,,See above
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,,See above
All,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,,See above
"Only for providers of hosting services, including online platforms",VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
"Only for providers of hosting services, including online platforms",VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,1542,
"Only for providers of hosting services, including online platforms",VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
"Only for providers of hosting services, including online platforms",VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
"Only for providers of hosting services, including online platforms",VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,VRBO,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures solely taken by automated means,bg,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures solely taken by automated means,[...],,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures solely taken by automated means,sv,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures not taken by automated means,bg,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures not taken by automated means,[...],,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Number of measures not taken by automated means,sv,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
