Kategorie,Kategoriebeschreibung,Kategorie rechtswidriger/mit den Geschäftsbedingungen unvereinbarer Inhalte,Hintergrundinformationen
GESAMT,Alle Einträge,TOTAL,
Kategorie 1,Tierwohl,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Kategorie 1a,Tierquälerei,KEYWORD_ANIMAL_HARM,
Kategorie 1b,Rechtswidriger Verkauf von Tieren,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Kategorie 1c,Nicht von einer anderen Unterkategorie erfasst,KEYWORD_OTHER,
Kategorie 2,Verletzungen von Verbraucherinformationspflichten,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Kategorie 2a,"Versteckte Werbung oder kommerzielle Kommunikation, auch durch Influencer",KEYWORD_HIDDEN_ADVERTISEMENT,
Kategorie 2b,Unzureichende Informationen über Händler,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Kategorie 2c,Irreführende Informationen über die Merkmale der Waren und Dienstleistungen,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Kategorie 2d,Irreführende Informationen über die Verbraucherrechte,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Kategorie 2e,Nichteinhaltung der Vorschriften für die Preisgestaltung,KEYWORD_NONCOMPLIANCE_PRICING,
Kategorie 2f,Nicht von einer anderen Unterkategorie erfasst,KEYWORD_OTHER,
Kategorie 3,Cybergewalt,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Kategorie 3a,Mobbing und Einschüchterung im Internet,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Kategorie 3b,Cyberbelästigung,KEYWORD_CYBER_HARASSMENT,
Kategorie 3c,Aufstachelung zu Gewalt oder Hass im Internet,KEYWORD_CYBER_INCITEMENT,
Kategorie 3d,Cyberstalking,KEYWORD_CYBER_STALKING,
Kategorie 3e,"Nicht einvernehmliche Weitergabe von (intimem) Material, einschließlich (bildlicher Darstellung) sexuellen Missbrauchs (ausgenommen Inhalte, die Minderjährige darstellen)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
