Anwendbarkeit,Dienst,Berichtszeitraum,Kategorie illegaler Inhalte,Beschreibung der Unterkategorie „Sonstige“,Anwendungsbereich,Anzahl der Anordnungen der Mitgliedstaaten zum Vorgehen gegen rechtswidrige Inhalte,Anzahl bestimmter Einzelinformationen in der Gesamtzahl der Anordnungen zum Vorgehen gegen rechtswidrige Inhalte,Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zum Vorgehen gegen rechtswidrige Inhalte,"Mediandauer, um der Anordnung zum Vorgehen gegen rechtswidrige Inhalte nachzukommen",Anzahl der Anordnungen zur Bereitstellung von Informationen,Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zur Bereitstellung von Informationen,"Mediandauer, um der Anordnung zur Bereitstellung von Informationen nachzukommen",Hintergrundinformationen zur Anzahl der Anordnungen der Mitgliedstaaten zum Vorgehen gegen rechtswidrige Inhalte,Hintergrundinformationen zur Anzahl bestimmter Einzelinformationen in der Gesamtzahl der Anordnungen zum Vorgehen gegen rechtswidrige Inhalte,Hintergrundinformationen zur Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zum Vorgehen gegen rechtswidrige Inhalte,"Hintergrundinformationen zur Mediandauer, um der Anordnung zum Vorgehen gegen rechtswidrige Inhalte nachzukommen",Hintergrundinformationen zur Anzahl der Anordnungen zur Bereitstellung von Informationen,Hintergrundinformationen zur Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zur Bereitstellung von Informationen,"Hintergrundinformationen zur Mediandauer, um der Anordnung zur Bereitstellung von Informationen nachzukommen"
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,TOTAL,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
