Anwendbarkeit,Dienst,Berichtszeitraum,Kategorie illegaler Inhalte,Beschreibung der Unterkategorie „Sonstige“,Anzahl der auf Eigeninitiative des Anbieters ergriffenen Maßnahmen,Anzahl der nach der Erkennung ausschließlich automatisch ergriffenen Maßnahmen,Einschränkung der Sichtbarkeit: Entfernung,Einschränkung der Sichtbarkeit: Sperrung,Einschränkung der Sichtbarkeit: Herabstufung,Einschränkung der Sichtbarkeit: Altersbeschränkung,Einschränkung der Sichtbarkeit: Beschränkte Interaktion,Einschränkung der Sichtbarkeit: Kennzeichnung,Einschränkung der Sichtbarkeit: Sonstige,Monetäre Beschränkung: Aussetzung,Monetäre Beschränkung: Beendigung,Monetäre Beschränkung: Sonstige,Bereitstellung des Dienstes: Aussetzung,Bereitstellung des Dienstes: Beendigung,Kontobeschränkung: Aussetzung,Kontobeschränkung: Schließung,Hintergrundinformationen zur Anzahl der auf Eigeninitiative des Anbieters ergriffenen Maßnahmen,Hintergrundinformationen zur Anzahl der nach der Erkennung ausschließlich automatisch ergriffenen Maßnahmen,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Entfernung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Sperrung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Herabstufung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Altersbeschränkung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Beschränkte Interaktion,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Kennzeichnung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Sonstige,Hintergrundinformationen zur monetären Beschränkung: Aussetzung,Hintergrundinformationen zur monetären Beschränkung: Beendigung,Hintergrundinformationen zur monetären Beschränkung: Sonstige,Hintergrundinformationen zur Bereitstellung des Dienstes: Aussetzung,Hintergrundinformationen zur Bereitstellung des Dienstes: Beendigung,Hintergrundinformationen zur Kontobeschränkung: Aussetzung,Hintergrundinformationen zur Kontobeschränkung: Schließung
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,TOTAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
