Anwendbarkeit,Dienst,Berichtszeitraum,Abschnitt,Indikator,Wertebereich,Wert,Hintergrundinformationen
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Gesamtzahl,0,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der über interne Beschwerdeverfahren übermittelten Beschwerden,Vermiedene Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Anzahl der infolge eines internen Beschwerdeverfahrens neu auferlegten Beschränkungen,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Entfernung oder Sperrung des Zugangs zu Informationen oder zur Beschränkung ihrer Sichtbarkeit,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Entfernung oder Sperrung des Zugangs zu Informationen oder zur Beschränkung ihrer Sichtbarkeit,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Entfernung oder Sperrung des Zugangs zu Informationen oder zur Beschränkung ihrer Sichtbarkeit,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Entfernung oder Sperrung des Zugangs zu Informationen oder zur Beschränkung ihrer Sichtbarkeit,Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Entfernung oder Sperrung des Zugangs zu Informationen oder zur Beschränkung ihrer Sichtbarkeit,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Beendigung der Bereitstellung des Dienstes,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Beendigung der Bereitstellung des Dienstes,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Beendigung der Bereitstellung des Dienstes,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Beendigung der Bereitstellung des Dienstes,Rückgängig gemachte Entscheidungen,,
