Anwendbarkeit,Dienst,Berichtszeitraum,Abschnitt,Indikator,Wertebereich,Wert,Hintergrundinformationen
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch ergriffener Maßnahmen,Gesamtzahl,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch ergriffener Maßnahmen,Gesamtzahl,1,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),Gesamtzahl,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),Gesamtzahl,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),Gesamtzahl,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch ergriffener Maßnahmen,Eigeninitiative,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch ergriffener Maßnahmen,Eigeninitiative,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),Eigeninitiative,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),Eigeninitiative,0,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),Eigeninitiative,0,
"Nur für Hostingdiensteanbieter, einschließlich Online-Plattformen",GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch verarbeiteter Meldungen,MAV gesamt,0,
"Nur für Hostingdiensteanbieter, einschließlich Online-Plattformen",GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch verarbeiteter Meldungen,MAV gesamt,1,
"Nur für Hostingdiensteanbieter, einschließlich Online-Plattformen",GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),MAV gesamt,0,
"Nur für Hostingdiensteanbieter, einschließlich Online-Plattformen",GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),MAV gesamt,0,
"Nur für Hostingdiensteanbieter, einschließlich Online-Plattformen",GMX & WEB.DE,2025-01-01/2025-12-31,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),MAV gesamt,0,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch verarbeiteter Meldungen,Vertrauenswürdiger Hinweisgeber im MAV,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch verarbeiteter Meldungen,Vertrauenswürdiger Hinweisgeber im MAV,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),Vertrauenswürdiger Hinweisgeber im MAV,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),Vertrauenswürdiger Hinweisgeber im MAV,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),Vertrauenswürdiger Hinweisgeber im MAV,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch ergriffener Maßnahmen,bg,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch ergriffener Maßnahmen,[...],,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl ausschließlich automatisch ergriffener Maßnahmen,sv,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch ergriffener Maßnahmen,bg,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch ergriffener Maßnahmen,[...],,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Anzahl nicht automatisch ergriffener Maßnahmen,sv,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),bg,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),[...],,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),sv,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),bg,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),[...],,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),sv,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Treffergenauigkeit (Accuracy),bg,,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Genauigkeit (Precision),[...],,
Nur für VLOPs,,JJJJ-MM-TT/JJJJ-MM-TT,Verwendung automatisierter Mittel zur Moderation von Inhalten,Korrektklassifikationsrate der automatisierten Mittel – Sensitivität (Recall),sv,,
