Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Wikipedia,2025-07-01/2025-12-31,TOTAL,,100,0,309,0,528,,,,1,0,"There are a small number of notices brought to the Foundation's attention through official mechanisms, though they are more appropriately for and actioned by the community under their own policies (typically as an editorial or courtesy matter).",,,,,,,,"During this cycle, the Foundation implemented 1 Office Action from the notices received. The remaining notices were referred to the community.",
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ANIMAL_HARM,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,,,,,,,,,,,,,,,,
