Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of internal moderators employed by the provider,Total number,17,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of external moderators contracted by the provider,Total number,0,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,Total number,17,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,AR,2,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,BN,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,EN,14,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,FA,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,FR,3,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,DE,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,HI,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,IT,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,ID,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,MS,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,RU,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,SW,1,
Only for VLOPs,Wikipedia,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,PL,1,
