Zakres zastosowania,Usługa,Okres sprawozdawczy,Kategoria nielegalnych treści,Opis podkategorii „Inne”,Zakres,Liczba otrzymanych nakazów podjęcia działań przeciwko nielegalnym treściom,Liczba określonych informacji zawartych w łącznej liczbie nakazów podjęcia działań przeciwko nielegalnym treściom,Mediana czasu potrzebnego na poinformowanie organu o otrzymaniu nakazu podjęcia działań przeciwko nielegalnym treściom,Mediana czasu potrzebnego na wykonanie nakazu podjęcia działań przeciwko nielegalnym treściom,Liczba nakazów udzielenia informacji,Mediana czasu na poinformowanie organu o otrzymaniu nakazu udzielenia informacji,Mediana czasu na wykonanie nakazu udzielenia informacji,Informacje kontekstowe na temat liczby nakazów podjęcia działań przeciwko nielegalnym treściom,Informacje kontekstowe na temat liczby określonych informacji zawartych w łącznej liczbie nakazów podjęcia działań przeciwko nielegalnym treściom,Informacje kontekstowe na temat mediany czasu na poinformowanie organu o otrzymaniu nakazu podjęcia działań przeciwko nielegalnym treściom,Informacje kontekstowe na temat mediany czasu na wykonanie nakazu podjęcia działań przeciwko nielegalnym treściom,Informacje kontekstowe na temat liczby nakazów udzielenia informacji,Informacje kontekstowe na temat mediany czasu na poinformowanie organu o otrzymaniu nakazu udzielenia informacji,Informacje kontekstowe na temat mediany czasu na wykonanie nakazu udzielenia informacji
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,TOTAL,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_ANIMAL_HARM,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,OGÓŁEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
