Zakres zastosowania,Usługa,Okres sprawozdawczy,Kategoria niezgodności z warunkami korzystania z usług dostawcy,Opis podkategorii „Inne”,Liczba środków przyjętych z własnej inicjatywy dostawcy,Liczba środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Ograniczenie widoczności – usunięcie,Ograniczenie widoczności – uniemożliwienie dostępu,Ograniczenie widoczności – depozycjonowanie,Ograniczenie widoczności – objęcie ograniczeniem ze względu na wiek,Ograniczenie widoczności – ograniczenie możliwości interakcji,Ograniczenie widoczności – oznaczenie,Ograniczenie widoczności – inne,Ograniczenie pieniężne – zawieszenie,Ograniczenie pieniężne – zakończenie,Ograniczenie pieniężne – inne,Świadczenie usługi – zawieszenie,Świadczenie usługi – zakończenie,Ograniczenie konta – zawieszenie,Ograniczenie konta – zamknięcie,Informacje kontekstowe na temat liczby środków przyjętych z własnej inicjatywy dostawcy,Informacje kontekstowe na temat liczby środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Informacje kontekstowe na temat ograniczenia widoczności poprzez usunięcie,Informacje kontekstowe na temat ograniczenia widoczności poprzez uniemożliwienie dostępu,Informacje kontekstowe na temat ograniczenia widoczności poprzez depozycjonowanie,Informacje kontekstowe na temat ograniczenia widoczności poprzez objęcie ograniczeniem ze względu na wiek,Informacje kontekstowe na temat ograniczenia widoczności poprzez ograniczenie możliwości interakcji,Informacje kontekstowe na temat ograniczenia widoczności poprzez oznaczenie,Informacje kontekstowe na temat ograniczenia widoczności poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zakończenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zakończenie,Informacje kontekstowe na temat ograniczenia konta poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia konta poprzez zamknięcie
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,TOTAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-32,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-33,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-34,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-35,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-36,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-37,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-38,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-39,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-40,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
