Zakres zastosowania,Usługa,Okres sprawozdawczy,Sekcja,Wskaźnik,Zakres,Wartość,Informacje kontekstowe
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Łączna liczba,0,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Mediana czasu,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba skarg wniesionych w ramach wewnętrznego mechanizmu rozpatrywania skarg,Decyzje pominięte,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Liczba nowych ograniczeń nałożonych w wyniku skargi wewnętrznej,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji w sprawie usunięcia informacji lub uniemożliwienia dostępu do nich bądź ograniczenia widoczności informacji,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji w sprawie usunięcia informacji lub uniemożliwienia dostępu do nich bądź ograniczenia widoczności informacji,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji w sprawie usunięcia informacji lub uniemożliwienia dostępu do nich bądź ograniczenia widoczności informacji,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji w sprawie usunięcia informacji lub uniemożliwienia dostępu do nich bądź ograniczenia widoczności informacji,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji w sprawie usunięcia informacji lub uniemożliwienia dostępu do nich bądź ograniczenia widoczności informacji,Mediana czasu,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o zawieszeniu lub zakończeniu świadczenia usługi,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o zawieszeniu lub zakończeniu świadczenia usługi,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o zawieszeniu lub zakończeniu świadczenia usługi,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o zawieszeniu lub zakończeniu świadczenia usługi,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o zawieszeniu lub zakończeniu świadczenia usługi,Mediana czasu,nd,
