Zakres zastosowania,Usługa,Okres sprawozdawczy,Sekcja,Wskaźnik,Zakres,Wartość,Informacje kontekstowe
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-31,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków przyjętych przy użyciu wyłącznie zautomatyzowanych środków,Łączna liczba,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-32,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków nieprzyjętych przy użyciu zautomatyzowanych środków,Łączna liczba,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-33,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,Łączna liczba,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-34,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,Łączna liczba,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-35,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,Łączna liczba,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-36,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków przyjętych przy użyciu wyłącznie zautomatyzowanych środków,Własna inicjatywa,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-37,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków nieprzyjętych przy użyciu zautomatyzowanych środków,Własna inicjatywa,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-38,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,Własna inicjatywa,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-39,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,Własna inicjatywa,0,
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-40,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,Własna inicjatywa,0,
"Wyłącznie w przypadku dostawców usług hostingu, w tym platform internetowych",Sklep internetowy x-kom,2024-02-16/2024-12-41,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba zgłoszeń rozpatrzonych przy użyciu wyłącznie zautomatyzowanych środków,Mechanizm zgłaszania i działania – ogółem,0,
"Wyłącznie w przypadku dostawców usług hostingu, w tym platform internetowych",Sklep internetowy x-kom,2024-02-16/2024-12-42,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba zgłoszeń nierozpatrzonych przy użyciu zautomatyzowanych środków,Mechanizm zgłaszania i działania – ogółem,0,
"Wyłącznie w przypadku dostawców usług hostingu, w tym platform internetowych",Sklep internetowy x-kom,2024-02-16/2024-12-43,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,Mechanizm zgłaszania i działania – ogółem,0,
"Wyłącznie w przypadku dostawców usług hostingu, w tym platform internetowych",Sklep internetowy x-kom,2024-02-16/2024-12-44,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,Mechanizm zgłaszania i działania – ogółem,0,
"Wyłącznie w przypadku dostawców usług hostingu, w tym platform internetowych",Sklep internetowy x-kom,2024-02-16/2024-12-45,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,Mechanizm zgłaszania i działania – ogółem,0,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba zgłoszeń rozpatrzonych przy użyciu wyłącznie zautomatyzowanych środków,Mechanizm zgłaszania i działania – zaufany podmiot sygnalizujący,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba zgłoszeń nierozpatrzonych przy użyciu zautomatyzowanych środków,Mechanizm zgłaszania i działania – zaufany podmiot sygnalizujący,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,Mechanizm zgłaszania i działania – zaufany podmiot sygnalizujący,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,Mechanizm zgłaszania i działania – zaufany podmiot sygnalizujący,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,Mechanizm zgłaszania i działania – zaufany podmiot sygnalizujący,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków przyjętych przy użyciu wyłącznie zautomatyzowanych środków,bg,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków przyjętych przy użyciu wyłącznie zautomatyzowanych środków,[…],nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków przyjętych przy użyciu wyłącznie zautomatyzowanych środków,sv,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków nieprzyjętych przy użyciu zautomatyzowanych środków,bg,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków nieprzyjętych przy użyciu zautomatyzowanych środków,[…],nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Liczba środków nieprzyjętych przy użyciu zautomatyzowanych środków,sv,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,bg,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,[…],nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,sv,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,bg,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,[…],nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – czułość,sv,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – dokładność,bg,nd,
Wyłącznie w przypadku bardzo dużych platform internetowych,nd,nd,Wykorzystanie zautomatyzowanych środków do celów moderowania treści,Dokładność zautomatyzowanych środków – precyzja,[…],nd,
