DSA-Reporting 2024;;
;;
Jahresbericht:;2024;
;;
Meldungen:;;
13.137;von Usern gemeldete Beiträge insgesamt;
0;"durch ""vertrauenswürdige Hinweisgeber"" übermittelte Meldungen";
0;von Behörden erhaltene Anordnungen;
;;
Inhaltliche Eingriffe durch die Forenadministration:;;
Anzahl;Begründung;Grundlage
77;Allgemein (unspezifisch);auf Grundlage der Nutzungsbedingungen von heise online
1.222;Falsches Forum (Thread verschoben, dadurch ggf. Sichtbarkeit eingeschränkt);auf Grundlage der Nutzungsbedingungen von heise online
681;Fehlender Bezug;auf Grundlage der Nutzungsbedingungen von heise online
1.803;Netiquetteverstoß;auf Grundlage der Nutzungsbedingungen von heise online
1.458;Irreführung;auf Grundlage der Nutzungsbedingungen von heise online
174;Spam;auf Grundlage der Nutzungsbedingungen von heise online
500;Beleidigung;auf Grundlage der Nutzungsbedingungen von heise online
24;Rechtsverstoß;auf Grundlage der Nutzungsbedingungen von heise online
396;Hassrede;auf Grundlage der Nutzungsbedingungen von heise online
54;Gewaltverherrlichung;auf Grundlage der Nutzungsbedingungen von heise online
;;
0;ausschließlich automatisch verarbeitete Meldungen;
;;
Beschwerdemanagement:;;
1901;Anfragen und Beschwerden;
38;rückgängig gemachte Entscheidungen;
0;Streitbeilegungsverfahren;
;;
Allgemeines:;;
729.717;durchschnittliche, monatlich aktive User (6-Monats-Schnitt);
