Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs and VLOSEs,Facebook,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"263,527,269","The information on the use of Facebook in the EU has been prepared for Articles 24(2) and 42(3) DSA. This information may differ from user metrics reported in other contexts in certain key respects, including, for example, periodic reports filed with other regulatory authorities, and should not be used for other purposes.

Where applicable, the Member State breakdown above includes any monthly active user metrics available for outermost regions or other territories associated with such Member States.

There are inherent challenges in measuring usage of our services across large online and mobile populations across the world. Many people in our community have user accounts on more than one of our services, and some people have multiple user accounts within an individual service. The above monthly active user estimates by online platform do not represent estimates of the number of unique people using these services.
"
Only for VLOPs and VLOSEs,Facebook,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,"4,194,812",
,,,,,BE,"8,108,721",
,,,,,BG,"4,567,601",
,,,,,CY,"997,775",
,,,,,CZ,"6,714,482",
,,,,,DE,"32,171,497",
,,,,,DK,"4,455,809",
,,,,,EE,"907,218",
,,,,,EL,"6,485,885",
,,,,,ES,"27,244,280",
,,,,,FI,"3,233,820",
,,,,,FR,"43,190,602",
,,,,,HR,"2,375,438",
,,,,,HU,"7,128,674",
,,,,,IE,"3,489,235",
,,,,,IT,"36,474,778",
,,,,,LT,"2,220,480",
,,,,,LU,"410,719",
,,,,,LV,"1,172,841",
,,,,,MT,"490,669",
,,,,,NL,"10,111,532",
,,,,,PL,"24,909,792",
,,,,,PT,"7,861,487",
,,,,,RO,"12,710,502",
,,,,,SE,"7,215,982",
,,,,,SI,"1,264,863",
,,,,,SK,"3,417,775",
