Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,TOTAL,,"942,504","5,873","818,334","94,752",3.2,19.2,"6,555",0,"176,226","1,118","All Article 16 DSA notices are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions.",,,,"The time periods refer to the time between when the notice was submitted and the first action we took in response to the notice. In instances where there are multiple pieces of content reported, we calculate turnaround time as the time between when the notice was submitted and the first action we take. As an example, if a notice contained two pieces of content and we actioned one piece within 24 hours and the other within 7 days, 24 hours was used for the median calculation. Some decisions can require different time frames due to specific nuances. More complex decisions may require additional guidance from specialised staff and therefore more time.

The median time to take action against Article 16 notices considers the time between submission and actions taken on the basis of the law or the terms and conditions of the service. Article 16 notices not resulting in an action taken are not included in the calculation.
",,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_ADVERTISING,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_DISCRIMINATORY_PRACTICES,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_LEAD_ADS,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_CRYPTOCURRENCY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PAYER_BENEFICIARY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_CONSUMER_INFRINGEMENTS,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,72,0,122,0.0,13.3,0,0,0,28,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,Category is inclusive of Article 16 notices related to bullying and harassment.,0,72,0,122,0.0,13.3,0,0,0,28,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"18,095",0,"18,149",0,16.3,0.0,31,0,"3,290",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PRIVACY,Added category to record Article 16 user notice submissions alleging privacy violations.,"18,095",0,"18,149",0,16.3,0.0,31,0,"3,290",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_DATA_PROTECTION,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"387,906",171,"234,046",266,0.3,2.3,595,0,"90,380",108,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,"387,906",0,"234,046",0,0.3,0.0,595,0,"90,380",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,0,171,0,266,0.0,2.3,0,0,0,108,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PROFANITY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_ILLEGALITY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"200,640",552,"376,412","7,005",15.6,3.7,0,0,"54,829",487,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_INTELLECTUAL_PROPERTY_INFRINGEMENTS_THIRD_PARTY_VIOLATION_OR_DATA_VIOLATION,Added category to capture Article 16 notices alleging intellectual property violations.,"200,640",552,"376,412","7,005",15.6,3.7,0,0,"54,829",487,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,13,0,27,0.0,1.4,0,0,0,3,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,0,13,0,27,0.0,1.4,0,0,0,3,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_POLITICAL_ADVERTISING,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_INELIGIBLE_USER,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_CIVIC_DISCOURSE,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,53,0,70,0.0,21.6,0,0,0,18,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,53,0,70,0.0,21.6,0,0,0,18,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,10,0,29,0.0,0.5,0,0,0,6,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,0,10,0,29,0.0,0.5,0,0,0,6,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_FUGITIVE,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
