Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Facebook,2026-01-01/2026-06-30,TOTAL,,"168,282","151,734",,"166,854",,,,,"1,428",,,,,,,,The data provided does not cover content moderation outcomes for French Guiana and Åland Islands due to a technical limitation.,,,“Disable” refers to an action that we may take to block the visibility of content in the jurisdiction(s) where the content is likely illegal. Additional information can be found in our Transparency Center.,,,,,"In certain instances we disable visibility of content produced by user managed entities (e.g., profile, group, or page).",,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,1,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_ADVERTISING,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_DISCRIMINATORY_PRACTICES,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_LEAD_ADS,Added category to capture own initiative actions taken against our product and format-specific policies pertaining to lead ads.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_CRYPTOCURRENCY,Added category to capture own initiative actions taken against our Advertising Standards on cryptocurrency products and services,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PAYER_BENEFICIARY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_CONSUMER_INFRINGEMENTS,Added category to capture own initiative actions in the consumer information infringements category.,1,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,54,0,,54,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,6,0,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,Category is inclusive of own initiative actions related to bullying and harassment.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,48,0,,48,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,27,0,,27,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
