Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Facebook,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,Total number,,
Only for VLOPs,Facebook,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,Total number,,
Only for VLOPs,Facebook,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Total number,"5,913","
Content reviewers with sufficient linguistic expertise apply to Facebook and Instagram. The numbers are reflective of reviewers who reviewed EU-specific content across EU official languages.

For EU content that is in a language other than the 24 official languages of the EU, there are additional language-based content reviewers.

For languages that are widely spoken outside of the EU, e.g., French, English, Spanish, Portuguese, there are additional content reviewers that review reports from non-EU countries in these languages
"
Only for VLOPs,Facebook,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,bg,55,
,,,,,cs,70,
,,,,,da,15,
,,,,,de,515,
,,,,,el,32,
,,,,,en,200,"All content reviewers dedicated to content moderation in the EU are proficient in English (5913), whereas 200 content reviewers are allocated to review English content within the EU."
,,,,,es,2319,
,,,,,et,2,
,,,,,fi,20,
,,,,,fr,519,
,,,,,ga,0,
,,,,,hr,40,
,,,,,hu,49,
,,,,,it,312,
,,,,,lt,8,
,,,,,lv,2,
,,,,,mt,1,
,,,,,nl,109,
,,,,,pl,70,
,,,,,pt,1542,
,,,,,ro,80,
,,,,,sk,42,
,,,,,sl,5,
,,,,,sv,58,
