Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Instagram,2026-01-01/2026-06-30,TOTAL,,"63,556,069","58,838,153","22,699,983",,"224,729",,,,422,,"140,055",141,,"10,375,080",,"30,115,659",The data provided does not cover content moderation outcomes for French Guiana and Åland Islands due to a technical limitation.,,Visibility restriction removal contains some actions for Facebook and Instagram combined due to technical and product limitations.,,"“Demotion” refers to an action that we may take to reduce the distribution of content.

Due to a technical issue with our demotion logging on Instagram, the numbers shared in the Visibility Restriction Demotion column undercounts the true number of demotions restriction measures applied during the reporting period.",Some content can create a negative experience for people even though it does not violate our policies. Actions we may take on such content to promote a safe and positive experience are not taken on the basis that the content is illegal or violates our terms and policies.,Some content can create a negative experience for people even though it does not violate our policies. Actions we may take on such content to promote a safe and positive experience are not taken on the basis that the content is illegal or violates our terms and policies.,Some content can create a negative experience for people even though it does not violate our policies. Actions we may take on such content to promote a safe and positive experience are not taken on the basis that the content is illegal or violates our terms and policies.,,,"“Monetary restriction measures on content” refers to an enforcement action that we may take on content to restrict publishers and creators from earning money on their content if it violates our Content Monetization Policies. Additional information can be found in our Business Help Center.

“Monetary restriction measures on publishers and creators” refers to an enforcement action that we may take on partners to remove their access to monetization tools. Additional information can be found in our Business Help Center.

Due to technical limitations, the restriction volumes above include restrictions placed on users who use the branded content disclosure tool or run partnership ads.","In addition to monetary restrictions placed on creators, monetary restriction measures also occur on content. This refers to an enforcement action that we may take on content to restrict publishers and creators from earning money on their content if it violates our Content Monetization Policies. Additional information can be found in our Business Help Center.

Certain content formats cannot be monetized as described in the Content Monetization Policies. Instances where prohibited formats are leveraged by creators are excluded from this column.",,"Provision of service terminations restrict access to a subset of a user’s account or accounts they manage

The data in this column contains actions for Facebook and Instagram combined due to technical and product limitations.",,Account restriction terminations restrict access to a user’s account in its entirety.
All,Instagram,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"2,940,610","2,754,023","2,940,610",,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
All,Instagram,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,"2,167,912","2,164,039","2,167,912",,0,,,,0,,0,0,,0,,0,,,,,,,,,,,,,,,,
