Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,"8,955,778","The data provided on appeals and recidivism does not cover content moderation outcomes for French Guiana and Åland Islands due to a technical limitation.

Complaints may occur on content that was previously actioned and recorded in prior transparency reports. As a result, the number of complaints may exceed the number of actions.

Restores after complaint may occur on complaints that were recorded in prior transparency reports. As a result, the number of restores after a complaint may exceed the number of complaints.
"
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,"5,616,582",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,"3,339,196",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,60.2,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,"230,324",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,"915,614",Multiple internal complaints on the same entity for different restrictions are counted as unique complaints. Multiple internal complaints on the same entity for the same restriction are counted as a single complaint.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,"559,809",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,"355,805",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,0.09,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,"223,543",Multiple internal complaints on the same entity for different restrictions are counted as unique complaints. Multiple internal complaints on the same entity for the same restriction are counted as a single complaint.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,"78,692",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,"144,851",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,0.005,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Total number,"7,816,585",Multiple internal complaints on the same entity for different restrictions are counted as unique complaints. Multiple internal complaints on the same entity for the same restriction are counted as a single complaint.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions upheld,"4,978,052",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions reversed,"2,838,533",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Median time,0.21,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,21,Multiple internal complaints on the same entity for different restrictions are counted as unique complaints. Multiple internal complaints on the same entity for the same restriction are counted as a single complaint.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,20,
