Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,"59,620,901",
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"4,723,311",
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,1.00,"Accuracy reflects the percentage of all unique content that was created during the reporting period that were correctly removed or correctly not removed due to it being non-violating by automated enforcement.

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.96,"Precision reflects the percentage of automated removals of content that weren’t later restored 

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.65,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,own initiative ,"59,620,901",
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,own initiative ,"4,723,311",
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,own initiative ,1.00,"Accuracy reflects the percentage of all unique content that was created during the reporting period that were correctly removed or correctly not removed due to it being non-violating by automated enforcement.

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,own initiative ,0.96,"Precision reflects the percentage of automated removals of content that weren’t later restored 

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,own initiative ,0.66,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
"Only for providers of hosting services, including online platforms",Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
