Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Instagram,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,Total number,,
Only for VLOPs,Instagram,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,Total number,,
Only for VLOPs,Instagram,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Total number,7704,"Moderators with sufficient linguistic expertise apply to Facebook and Instagram. The numbers are reflective of reviewers who reviewed EU-specific content across EU official languages. 

For EU content that is in a language other than the 24 official languages of the EU, there are additional language-based content reviewers. 

For languages that are widely spoken outside of the EU, e.g., French, English, Spanish, Portuguese, there are additional content reviewers that review reports from non-EU countries in these languages.
"
Only for VLOPs,Instagram,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,bg,62,
,,,,,cs,91,
,,,,,da,25,
,,,,,de,659,
,,,,,el,38,
,,,,,en,308,"All content reviewers dedicated to content moderation in the EU are proficient in English (7704), whereas 308 content reviewers are allocated to review English content within the EU."
,,,,,es,2961,
,,,,,et,3,
,,,,,fi,23,
,,,,,fr,704,
,,,,,ga,0,
,,,,,hr,28,
,,,,,hu,62,
,,,,,it,433,
,,,,,lt,8,
,,,,,lv,2,
,,,,,mt,1,
,,,,,nl,131,
,,,,,pl,126,
,,,,,pt,1923,
,,,,,ro,90,
,,,,,sk,61,
,,,,,sl,13,
,,,,,sv,63,
