Applicability,Service,Reporting period,Section,Indicator,Scope,Value,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,56400000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,900000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BE,1900000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BG,300000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CY,200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CZ,800000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DE,7900000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DK,1500000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EE,100000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EL,800000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,ES,6100000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FR,12600000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FI,900000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HR,300000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HU,500000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IE,1200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IT,6500000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LT,300000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LU,200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LV,200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,MT,100000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,NL,5400000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PL,2500000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PT,1600000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,RO,1000000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SE,2200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SI,200000,,,,,,,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,LinkedIn,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SK,300000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
