Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,TOTAL,,1745,9,1503,17,416,0,11,0,473,0,"This sheet reports information regarding the number of notices submitted in accordance with Article 16 of the Digital Services Act LinkedIn received from users in the European Union during the reporting period, by category selected by the reporter. The category selected by the reporter when submitting an Article 16 report may or may not be the same as the basis on which LinkedIn actions a piece of content.

Upon receipt, Article 16 notices are evaluated and resolved by human reviewers; LinkedIn did not resolve Article 16 notices via automated means during the reporting period.

Note that the number of specific items of information included in the total number of notices (e.g., Column H) may be greater than the number of notices received (e.g., Column G) -- for example, when a single notice contains multiple pieces of content. Note also that the number of specific items of information included in the total number of notices (e.g., Column H) may also be less than the number of notices received (e.g., Column G) -- for example, when multiple notices report the same piece of content.

Across all sheets, the metrics LinkedIn provides in this report are best estimates provided the data available in LinkedIn's systems and methods used in the ordinary course of business. In some cases, metrics can be impacted by, e.g., account deletion, content deletion, as well as downtime or errors in LinkedIn's systems that may impact data recording. Certain data may also vary or change over time. For example, a user report received on 31 December may not be resolved until after the reporting period. Metrics in the report are based on data after the close of the reporting period.
",,,,"As provided by Commission Implementing Regulation (EU) 2024/2835, median times in this report are provided in hours, rounded to the nearest hour. Certain requests may be received during the reporting period but not resolved during the reporting period; those requests are excluded from the median time calculations.

As provided by Commission Implementing Regulation (EU) 2024/2835, LinkedIn reports median time from receipt of the notice to enforcement action. Cases where LinkedIn decided not to act are excluded from the calculation of the median time to take action.
",,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,3,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,148,0,133,0,45,0,0,0,40,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,56,0,45,0,45,0,0,0,25,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,6,0,6,0,59,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,54,0,57,0,71,0,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,17,0,14,0,54,0,0,0,7,0,,,,,,,,,,
