Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual information on Number of measures taken at the provider's own initiative,Contextual information on Number of measures taken after detection with solely automated means,Contextual information on Visibility restriction Removal,Contextual information on Visibility restriction Disable,Contextual information on Visibility restriction Demoted,Contextual information on Visibility restriction Age restricted,Contextual information on Visibility restriction Interaction restricted,Contextual information on Visibility restriction Labelled,Contextual information on Visibility restriction Other,Contextual information on Monetary restriction Suspension,Contextual information on Monetary restriction Termination,Contextual information on Monetary restriction Other,Contextual information on Provision of the service Suspension,Contextual information on Provision of the service Termination,Contextual information on Account restriction Suspension,Contextual information on Account restriction Termination,
All,LinkedIn,2026-01-01/2026-06-30,TOTAL,,5815178,5033814,413852,,810,,,,16047,,,,6783,115,0,5377571,"Sheets 5 and 6 report information regarding DSA enforcement measures LinkedIn applied on its own initiative (i.e. absent a Member State order or Article 16 notice) to EU-relevant content during the reporting period. Sheet 5 reports own initiative measures LinkedIn applied on the basis of the law. Sheet 6 reports own initiative measures LinkedIn applied on the basis of its terms of service and policies (together, ""policies""). LinkedIn's policies prohibit a wide range of content that also violates the law. Where content both violates LinkedIn's policies and violates the law, LinkedIn generally relies on its policies as the basis for action. LinkedIn is committed to keeping its platform and services safe, trusted, and professional. All LinkedIn users are bound by the LinkedIn User Agreement (https://www.linkedin.com/legal/user-agreement). All content on LinkedIn must comply with the LinkedIn Professional Community Policies (https://www.linkedin.com/legal/professional-community-policies), which set out in detail the content LinkedIn permits and does not permit to keep its platform safe, trusted, and professional. In addition to the Professional Community Policies, job posts on LinkedIn must also comply with the LinkedIn Jobs Policies (https://www.linkedin.com/legal/l/jobs-policies), and ads must comply with the LinkedIn Advertising Policies (https://www.linkedin.com/legal/ads-policy). Except where otherwise noted, 'content' addressed in this report includes user-generated content that appears in LinkedIn's Feed – for example, posts, articles, comments, and newsletters – along with profiles, pages, groups, job posts that appear on LinkedIn's Jobs Board, and ads. LinkedIn applies a three-layer, multidimensional approach to moderate content on LinkedIn: - The first layer of protection is automated and proactive prevention. When a member attempts to create a piece of content on LinkedIn, various calls (or signals) are sent to LinkedIn's machine learning services. These services aim to automatically filter out certain policy-violating content at the time of creation. - The second layer of protection is a combination of automated and human-led detection. LinkedIn's second layer of moderation detects content that is likely to be violative but for which LinkedIn is not sufficiently confident to warrant automatic removal, and sends it for human review. - The third layer of protection is human-led detection. In addition to LinkedIn's Article 16 notice and action mechanism for illegal content, if users locate content that they believe violates LinkedIn's policies, they are able to report it using LinkedIn's in-product flagging functionality. The following section provides additional information regarding the measures reported in Columns H through U. - Own initiative measure 'Visibility restriction Removal' includes instances where LinkedIn removed content because it violated its policies or the law. - Own initiative measure 'Visibility restriction Demoted' includes instances where LinkedIn limited the visibility of content because it violated its policies or the law. - Own initiative measure 'Visibility restriction Other' includes instances where LinkedIn applied a sensitive content warning and limited the visibility of content because it violated its policies or the law. A sensitive content warning obscures a post until a member clicks to view the post. - Own initiative measure 'Provision of the service Suspension' includes instances where LinkedIn applied a time-bounded restriction on an account's ability to post content or to post jobs because it violated LinkedIn's policies or the law, but did not restrict the account in full. - Own initiative measure 'Provision of the service Termination' includes instances where LinkedIn applied an indefinite restriction on an account's ability to post content or to post jobs because it violated LinkedIn's policies or the law, but did not restrict the account in full. - Own initiative measure 'Account restriction Suspension' includes instances where LinkedIn applied a time-bounded restriction to an account in full. - Own initiative measure 'Account restriction Termination' includes instances where LinkedIn applied an indefinite restriction to an account in full. LinkedIn did not apply own initiative measures 'Visibility restriction Disable,' 'Visibility restriction Age restricted,' 'Visibility restriction Interaction restricted,' 'Visibility restriction Labelled,' 'Monetary restriction Suspension,' 'Monetary restriction Termination,' or 'Monetary restriction Other' during the reporting period. For the purposes of this report, LinkedIn attributes content as EU-relevant content if it is created in the EU, based on the IP address at the time of creation. LinkedIn also attributes content as EU-relevant content, regardless of where the content was created, if it is flagged by a user in the EU during the reporting period, based on the IP address at the time the flag was submitted.",,Own initiative measure 'Visibility restriction Removal' includes instances where LinkedIn removed content because it violated its policies or the law.,LinkedIn did not apply own initiative measure 'Visibility restriction Disable' during the reporting period.,Own initiative measure 'Visibility restriction Demoted' includes instances where LinkedIn limited the visibility of content because it violated its policies or the law.,LinkedIn did not apply own initiative measure 'Visibility restriction Age restricted' during the reporting period.,LinkedIn did not apply own initiative measure 'Visibility restriction Interaction restricted' during the reporting period.,LinkedIn did not apply own initiative measure 'Visibility restriction Labelled' during the reporting period.,Own initiative measure measure 'Visibility restriction Other' includes instances where LinkedIn applied a sensitive content warning and limited the visibility of content because it violated its policies or the law. A sensitive content warning obscures a post until a member clicks to view the post.,LinkedIn did not apply own initiative measure 'Monetary restriction Suspension' during the reporting period.,LinkedIn did not apply own initiative measure 'Monetary restriction Termination' during the reporting period.,LinkedIn did not apply own initiative measure 'Monetary restriction Other' during the reporting period.,"Own initiative measure 'Provision of the service Suspension' includes instances where LinkedIn applied a time-bounded restriction on an account's ability to post content or to post jobs because it violated LinkedIn's policies or the law, but did not restrict the account in full.","Own initiative measure 'Provision of the service Termination' includes instances where LinkedIn applied an indefinite restriction on restriction on an account's ability to post content or to post jobs because it violated LinkedIn's policies or the law, but did not restrict the account in full.",Own initiative measure 'Account restriction Suspension' includes instances where LinkedIn applied a time-bounded restriction to an account in full.,Own initiative measure 'Account restriction Termination' includes instances where LinkedIn applied an indefinite restriction to an account in full.,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,10,3,10,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,10,3,10,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,2,0,2,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,2,0,2,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
