Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"84,626,800"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,AT,"1,739,113"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BE,"2,767,791"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BG,"992,076"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HR,"663,567"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CY,"265,873"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CZ,"2,026,706"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DK,"1,211,369"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,EE,"280,195"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FI,"1,052,587"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FR,"14,522,023"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DE,"15,688,244"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,GR,"1,952,128"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HU,"1,940,960"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IE,"953,835"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IT,"9,704,496"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LV,"387,393"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LT,"594,329"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LU,"142,047"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,MT,"126,681"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,NL,"4,557,414"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PL,"6,133,829"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PT,"2,312,886"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,RO,"2,670,983"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SK,"934,240"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SI,"368,728"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,ES,"8,654,401"
Only for VLOPs and VLOSEs,Pinterest,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SE,"1,982,906"
