Applicability,Service,Reporting Period,Section,Indicator,Scope,Value,Contextual Information
All,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,"338,784","This includes appeals from EU users regarding content moderation restrictions.

Also included are all appeals concerning decisions taken following a notice received through our European Union Illegal Content Reporting Form. Please note this may include appeals from non-EU users that resulted from a decision based on a notice submitted via this form."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,"234,966",Decisions upheld include situations where we upheld our original decision. It also includes situations where we determined our original decision was not strict enough and imposed further restrictions.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,"1,587",Decisions partially reversed include situations where we determined our original decision was too strict and reversed some restrictions on the content.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,"92,875",Decisions reversed include situations where we reversed our original decision.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,7.29,The median time is indicated in hours.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,"9,356","Decisions omitted include appeals where we are awaiting additional information or identity verification from the user, or where the appeal had not been processed by the close of the reporting period. This also includes appeals where the content has been deleted by the user, duplicate appeals, or cases where the content was otherwise unavailable at the time of Pinterest’s review.

Please note that in this reporting period, 4,460 of these appeals were duplicates. An additional 4,308 appeals related to cases where we work with a trusted third party partner to process appeals, most of which are still in the waiting stage because the user had not completed the identification verification process and our partner was not able to proceed with their appeal."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,"10,926","This includes situations where, upon review of a complaint, we determined our original decision was not strict enough and imposed further restrictions."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,"292,538","This is the number of complaints received regarding a decision to remove or disable access to or restrict visibility of information.

Please note that the numbers reported in rows 10-12 below do not equal the total reported in this row. This is due to the fact that we have included “decisions omitted” in the total reported, which include appeals where we are either awaiting additional information or identity verification from the user or the appeal had not been processed by the end of the reporting period. It also includes appeals where the content had been deleted by the user, duplicate appeals, or cases where the content was otherwise unavailable at the time of Pinterest’s review."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,"210,767",
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,"1,572",
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,"78,493",
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,7.65,The median time is indicated in hours.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,,"Pinterest does not have enforcements that map to this restriction type, thus this is not applicable."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,,
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,,
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Total number,"39,992","This is the number of complaints received regarding a decision to suspend or terminate an account.

Please note that the numbers reported in rows 20-22 below do not equal the total reported in this row. This is due to the fact that we have included “decisions omitted” in the total reported, which include appeals where we are either awaiting additional information or identity verification from the user or the appeal had not been processed by the end of the reporting period. It also includes appeals where the content had been deleted by the user, duplicate appeals, or cases where the content was otherwise unavailable at the time of Pinterest’s review."
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions upheld,"18,006",
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions partially reversed,15,
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions reversed,"14,329",
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Median time,4.25,The median time is indicated in hours.
Only for providers of online platforms,Pinterest,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,,"Pinterest does not have enforcements that map to this restriction type, thus this is not applicable."
