Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,105.0,"Whilst automated tools assist in screening for, and detecting illegal material, uploaded images and videos cannot be published without being reviewed and approved by our trained staff of moderators. This acts as a quality control mechanism and safeguard for the automated systems. In limited cases where illegal content can be clearly identified by automated means, no human review is required. The figures therefore reflect these cases.

"
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,178622.0,
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9941,"The figures for accuracy are calculated by the sum of true positive matches and true negative matches, as a percentage of the total pieces of content removed during the applicable period. The accuracy score reflects the total number of true positive matches, meaning if one piece of content matches two tools, it will be reflected twice.

A true positive result is defined as a match to content which was then removed after visual review, as a human moderator determined the match was accurate. A true negative result is defined as the content removed during the relevant period which did not result in a tool match and was correctly assessed by the tool, as determined after visual review by a human moderator."
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.9346,"The figures for precision are calculated by the number of true positives as a percentage of all matches. The precision score reflects the total number of true positive matches, meaning if one piece of content matches two tools, it will be reflected twice.

A true positive result is defined as a match to content which was then removed after visual review, as a human moderator determined the match was accurate. A false positive result is defined as a match which was overturned and deemed incorrect after review by a human moderator."
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,We are unable to track false negative matches and are therefore unable to provide a figure for recall. 
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,105.0,
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,155982.0,The accuracy of content moderation is largely unaffected by Member State language due to our extensive use of automated tools and human moderation. Internal statistics show no significant differences between languages. Offenses are largely language independent.
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,,
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,,
All,Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,0.0,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,22639.0,
