Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,"97,153,476"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,"2,188,589"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,"3,592,131"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,"1,617,339"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,"148,609"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,"1,298,965"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,"19,845,717"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,"2,705,111"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,"280,034"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EL,"988,014"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,ES,"3,642,769"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,"1,686,843"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,"28,565,554"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,"673,602"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,"1,124,161"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,"1,991,797"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,"3,643,080"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,"521,984"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,"199,107"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,"356,377"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,"86,597"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,"6,844,016"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,"5,664,399"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,"1,056,152"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,"2,880,213"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,"4,483,080"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,"468,053"
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,"601,186"
