Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Snap,2025-07-01/2025-12-31,TOTAL,,"11,279,462","8,822,094","1,346,627","9,024,648",0,"184,074",0,,"14,285",,4,,,,,"398,476","The total enforcements reported in this column exceed the sum of the subcategories in columns H through U because the total includes enforcement actions that fall outside the template's predefined categories, such as warnings issued without content removal. Please refer to Tab 11 (Qualitative) for an overview of the enforcements included under Snap's own initiative.",Snap interprets this metric to include only end-to-end automated actions: content that was proactively detected by automated systems and subsequently restricted by automated means.,,,"Snap does not ""demote"" content in the EU based on violations of its Content Guidelines for Recommendation Eligibility; instead, content on public surfaces that violates those guidelines will not be recommended to all users or to some subset of users, as reflected in the other visibility restriction columns.","Age-restricted visibility restrictions may also applied to newly created accounts, regardless of user age, as a safety precaution.",,,"We have reported on measures applied to reduce the visibility of content that does not violate our Community Guidelines but falls below quality thresholds for broad recommendation. This primarily includes unoriginal, aggregated content and content identified as low-quality or spam-like.",,,,"Not applicable. When a violation warrants suspension or termination of an account's service based on Snap's policies, Snap typically enforces this through locking the account (i.e., disabling it) and later terminating it, which prevents further access to the account","Not applicable. When a violation warrants suspension or termination of an account's service based on Snap's policies, Snap typically enforces this through locking the account (i.e., disabling it) and later terminating it, which prevents further access to the account.","Not applicable. When a violation warrants suspension or termination of an account's service based on Snap's policies, Snap typically enforces this through locking the account (i.e., disabling it) and later terminating it, which prevents further access to the account","This field captures ""Account Locks,"" which prevent access to the service."
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"618,847",958,"206,958",0,0,0,0,,0,,0,,,,,"21,454",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,"119,541",902,"51,696",0,0,0,0,,0,,0,,,,,"1,825",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"16,936",21,"16,724",0,0,0,0,,0,,0,,,,,"7,719",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Invasion of Privacy,"21,222",3,"20,727",0,0,0,0,,0,,0,,,,,83,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Sexual Harassment,"461,148",32,"117,811",0,0,0,0,,0,,0,,,,,"11,827",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"70,064",25,"22,956",0,0,0,0,,0,,0,,,,,"1,101",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,"70,064",25,"22,956",0,0,0,0,,0,,0,,,,,"1,101",,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,
