Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,"130,767",Users whose accounts are locked by our safety teams for Community Guidelines violations can submit a locked account appeal. Users can also appeal certain content moderation decisions.  Note that the total number of complaints does not sum up to the number of decisions upheld and reversed because it includes some complaints submitted but not yet resolved at the time the data for this report was prepared.
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,"115,352",
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,"15,404",
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,11,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,"20,839",
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,"11,941",
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,"8,898",
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,8,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
