Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of internal moderators employed by the provider,Total number,56,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of external moderators contracted by the provider,Total number,"1,374",
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,Total number,"1,430",
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,bg,53,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,cs,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,da,56,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,de,89,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,el,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,en,"1,123",
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,es,80,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,et,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,fi,7,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,fr,253,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,ga,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,hr,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,hu,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,it,51,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,lt,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,lv,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,mt,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,nl,57,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pl,49,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pt,35,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,ro,31,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sk,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sl,0,
Only for VLOPs,Snap,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sv,55,
