Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL ,129.7M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,2.3M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,3.0M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,2.4M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,0.4M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,3.4M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,20.9M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,1.5M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,0.5M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EL,3.1M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,ES,14.7M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,1.1M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,17.5M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,1.5M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,4.2M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,1.8M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,14.9M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,1.1M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,0.1M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,0.8M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,0.3M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,4.8M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,14.3M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,4.2M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,5.4M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,2.8M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,0.8M
Only for VLOPs and VLOSEs,Temu,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,1.9M
