Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,658814880,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,2043496,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,98.38%,The indicators are identical to the accuracy/precision/recall rate reported for own-initiative moderation (product compliance). This reflects the fact that automated enforcement is used solely for moderation actions carried out on Temu's initiative. 
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,99.45%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,91.36%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,96.79%,The indicators are identical to the accuracy/precision/recall rate reported for own-initiative moderation (IP). This reflects the fact that automated enforcement is used solely for moderation actions carried out on Temu's initiative. 
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,99.47%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,32.08%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,99.98%,The indicators are identical to the accuracy/precision/recall rate reported for own-initiative moderation (Review). This reflects the fact that automated enforcement is used solely for moderation actions carried out on Temu's initiative. 
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,98.81%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,85.57%,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,658814880,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,1767629,
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,98.38%,"Accuracy rate of product compliance moderation

This indicator reflects the accuracy of automated tools in classifying listings as prohibited/restricted or otherwise non-compliant, based on a statistically representative audit across all applicable official EU languages.

Accuracy is estimated using a stratified sampling methodology, capturing both listings subject to direct automated enforcement and those not captured by direct automated enforcement (including listings enforced through human intervention and non-enforced listings). The resulting estimates are reported with a 95% confidence interval.

To establish ground truth, sampled listings were validated through manual review, enabling the high-confidence identification of correct classifications (true positives and true negatives) as well as classification errors (false positives and false negatives). Sample results were weighted and extrapolated to the platform level to ensure that the reported accuracy figures reliably reflect the performance and scale of the automated detection and enforcement systems across the service."
All,Temu,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,99.45%,"Precision rate of product compliance moderation

This indicator reflects the precision of automated tools used to detect product listings that were prohibited, restricted, or otherwise non-compliant, measuring the proportion of listings flagged by automated systems that were confirmed as violating.

Precision is estimated using a stratified sampling methodology covering automated enforcement outcomes across all applicable official EU languages. The resulting estimates are reported with a 95% confidence interval.

To establish ground truth, sampled listings subject to direct automated enforcements were validated through manual review, enabling the identification of correct automated detections (true positives) and incorrect detections (false positives). Sample results were weighted and extrapolated to the platform level to ensure that the reported accuracy figures reliably reflect the performance and scale of the automated detection and enforcement systems across the service."
