replication_info,entity,aspect,metric_name,period,period_value,policy,policy_value,task,task_value,location,location_value,result,base,date
,LIGR,Copyright,Total IP Requests,half-year,Jul-Dec 2025,all,all,all,all,all,All,476553.0,,
,LIGR,Copyright,Requests resulting in removal,half-year,Jul-Dec 2025,all,all,all,all,all,All,303413.0,,
,LIGR,Copyright,Percentage of successful requests,half-year,Jul-Dec 2025,all,all,all,all,all,All,0.636682594,,
,LIGR,Copyright,Total copyright removal requests,half-year,Jul-Dec 2025,all,all,all,all,all,All,401471.0,,
,LIGR,Copyright,Copyright requests resulting in removal,half-year,Jul-Dec 2025,all,all,all,all,all,All,253016.0,,
,LIGR,Copyright,Percentage of copyright requests resulting in removal,half-year,Jul-Dec 2025,all,all,all,all,all,All,0.630222357,,
,LIGR,Copyright,Total trademark removal requests,half-year,Jul-Dec 2025,all,all,all,all,all,All,75082.0,,
,LIGR,Copyright,Trademark requests resulting in removal,half-year,Jul-Dec 2025,all,all,all,all,all,All,50397.0,,
,LIGR,Copyright,Percentage of trademark requests resulting in removal,half-year,Jul-Dec 2025,all,all,all,all,all,All,0.671226126,,
,LIGR,Copyright,Invalid requests,half-year,Jul-Dec 2025,all,all,all,all,all,All,173140.0,,
,LIGR,Copyright,Number of actions taken against accounts,half-year,Jul-Dec 2025,all,all,all,all,all,All,180695.0,,
,LIGR,Copyright,Total trademark removal requests which involve counterfeits,half-year,Jul-Dec 2025,all,all,all,all,all,All,2836.0,,
,LIGR,Copyright,Appeal success rate,half-year,Jul-Dec 2025,all,all,all,all,all,All,0.009825737,,
,LIGR,Copyright,Total IP Requests,half-year,Jan-Jun 2025,all,all,all,all,all,All,405288.0,,
,LIGR,Copyright,Requests resulting in removal,half-year,Jan-Jun 2025,all,all,all,all,all,All,260122.0,,
,LIGR,Copyright,Percentage of successful requests,half-year,Jan-Jun 2025,all,all,all,all,all,All,0.6418,,
,LIGR,Copyright,Total copyright removal requests,half-year,Jan-Jun 2025,all,all,all,all,all,All,342167.0,,
,LIGR,Copyright,Copyright requests resulting in removal,half-year,Jan-Jun 2025,all,all,all,all,all,All,218338.0,,
,LIGR,Copyright,Percentage of copyright requests resulting in removal,half-year,Jan-Jun 2025,all,all,all,all,all,All,0.6381,,
,LIGR,Copyright,Total trademark removal requests,half-year,Jan-Jun 2025,all,all,all,all,all,All,63121.0,,
,LIGR,Copyright,Trademark requests resulting in removal,half-year,Jan-Jun 2025,all,all,all,all,all,All,41784.0,,
,LIGR,Copyright,Percentage of trademark requests resulting in removal,half-year,Jan-Jun 2025,all,all,all,all,all,All,0.662,,
