Applicability,Service,Reporting period,Section,Indicator,Scope,Value,,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,"189,000,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,AT,"2,800,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BE,"4,600,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BG,"2,900,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CY,"600,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CZ,"2,500,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DE,"28,900,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DK,"1,600,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,EE,"500,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,ES,"26,100,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FI,"2,000,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FR,"30,600,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,GR,"4,800,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HR,"1,300,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HU,"3,700,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IE,"2,500,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IT,"27,000,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LT,"1,100,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LU,"300,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LV,"1,000,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,MT,"200,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,NL,"8,200,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PL,"15,400,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PT,"4,500,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,RO,"10,000,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SE,"3,800,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SI,"600,000",,,,,,,,,,,,,
Only for VLOPs and VLOSEs,TikTok,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SK,"1,200,000",,,,,,,,,,,,,
