Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,1081646,471,349915,423,5.6,12.3,59375,137,32881,63,"This includes the number of notices in relation to Video, Live, Comments, Ads or Product listings","This includes the number of notices from Trusted Flaggers in relation to Video, Live, Comments, Ads or Product listings","This represents the deduplicated count of items reported (Video, Live, Comments, Ads, Product listings)","This represents the deduplicated count of items reported by Trusted Flaggers (Video, Live, Comments, Ads, Product listings)",,,"This represents the count of items that have been restricted based on local law violation (Video, Live, Comments, Ads, Product listings)","This represents the count of items that have been restricted based on local law violation, following Trusted Flaggers reports (Video, Live, Comments, Ads, Product listings)",This represents the count of items that have been removed due to violation of our Policies and following being reported for illegal content,This represents the count of items that have been removed due to violation of our Policies and following being reported for illegal content by Trusted Flaggers
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1a,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1b,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2a,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2b,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2c,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2d,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,
