Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,14589660,Total number of complaints received across all enforcment actions relevant to this section,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,7565334,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,7024326,Number of successful complaints received across all enforcment actions relevant to this section,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,0.428916667,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,11728557,Number of appeals received for enforcement actions counted as Visibility restriction Removal and Visibility restriction Other,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,5708646,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,6019911,Number of successful appeals received for enforcement actions counted as Visibility restriction Removal and Visibility restriction Other,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,0.341566667,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,2050243,Number of appeals received for enforcement actions counted as Provision of the service Suspension,,,,,,,,,,,
