Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,total,62,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,total,3676,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,total,3738,"The total number of human moderators includes non-language specific moderators, as well as other languages spoken in the EU",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Bulgarian,15,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Croatian,1,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Czech,19,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Danish,6,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Dutch,45,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,English,1730,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Estonian,5,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Finnish,9,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,French,337,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,German,339,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Greek,21,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Hungarian,20,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Irish,0,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Italian,241,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Latvian,5,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Lithuanian,4,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Maltese,0,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Polish,62,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Portuguese,52,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Romanian,68,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Slovak,19,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Slovenian,19,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Spanish,281,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise,Swedish,26,,,,,,,,,,,,
