Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs and VLOSEs,WhatsApp Channels,2026-01-26/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"62,592,270","Pursuant to Article 24(2) of the Digital Services Act (EU), for the six month period from 1 January 2026 to 30 June 2026, there were approximately 62.5 million average monthly active recipients of WhatsApp Channels in the EU. We have estimated the average monthly active recipients of WhatsApp Channels in the EU by reference to the average monthly active users on that service. For WhatsApp Channels, we define a monthly active user as an active user of the WhatsApp mobile app who opened a channel in the last 30 days as of the date of measurement. This information on the use of WhatsApp Channels in the EU has been prepared to meet
the requirements of the Digital Services Act.
"
Only for VLOPs and VLOSEs,WhatsApp Channels,2026-01-26/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,"1,488,500",
,,,,,BE,"728,175",
,,,,,BG,"50,430",
,,,,,CY,"65,865",
,,,,,CZ,"759,757",
,,,,,DE,"19,664,202",
,,,,,DK,"80,244",
,,,,,EE,"32,565",
,,,,,EL,"263,628",
,,,,,ES,"12,659,891",
,,,,,FI,"633,095",
,,,,,FR,"4,843,942",
,,,,,HR,"344,445",
,,,,,HU,"39,976",
,,,,,IE,"397,893",
,,,,,IT,"13,047,114",
,,,,,LT,"22,253",
,,,,,LU,"114,063",
,,,,,LV,"147,818",
,,,,,MT,"61,761",
,,,,,NL,"2,262,322",
,,,,,PL,"1,396,360",
,,,,,PT,"1,332,843",
,,,,,RO,"1,491,464",
,,,,,SE,"411,054",
,,,,,SI,"25,635",
,,,,,SK,"226,975",
