Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,TOTAL,,"492,493","2,087","755,395","3,122",2.3167,0.9667,"147,370","1,569","319,157",463,This includes the number of notices received through X’s notice and action mechanism pursuant to DSA Article 16. Each notice is counted once regardless of the number of items it refers to. Categories reflect the reporter's selected reason and subcategory at time of submission. Cross-category reclassification has been applied where a more specific category applies.,Notices received from Trusted Flaggers awarded status under DSA Article 22.,"Number of specific items of information included in the total number of notices, reflecting the number of 'exact electronic locations' (i.e., content URLs) pointed out by the notifier pursuant to Article 16(2)(b).",Number of specific items of information included in notices submitted by Trusted Flaggers.,Median time to take action on notices calculated as the median time in hours between receipt of the notice and implementation of an action (case closure). Cases where no action was taken are excluded from the median calculation. ,Median time to take action on Trusted Flagger notices calculated as the median time in hours between receipt of the notice and implementation of an action (case closure). Cases where no action was taken are excluded from the median calculation.,"Actions taken on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law. ","Actions taken on Trusted Flagger notices on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law.","Actions taken on Trusted Flagger notices on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law.",Actions taken on Trusted Flagger notices on the basis of X's Terms of Service.
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"3,116",0,"3,849",0,5,,121,0,"2,687",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,"2,502",0,"3,195",0,4.6667,,89,0,"2,178",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,67,0,67,0,1.8833,,1,0,57,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Animal welfare.,547,0,587,0,7.1333,,31,0,452,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"2,532",0,"2,720",0,3.2167,,222,0,"1,922",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,"1,064",0,"1,128",0,4.4833,,91,0,796,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,70,0,101,0,6.6333,,7,0,61,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,752,0,765,0,1.2833,,62,0,583,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,160,0,172,0,4.2167,,11,0,115,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,47,0,71,0,8.55,,0,0,38,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Consumer information infringements.,439,0,483,0,3.7,,51,0,329,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"51,516",74,"77,401",220,2.4833,19.45,"18,598",10,"30,168",64,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"9,763",12,"11,339",50,3.05,1.8167,"2,866",3,"6,454",9,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,"19,853",24,"36,994",98,1.5667,0.1833,"9,570",1,"9,121",23,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,"11,331",6,"15,228",26,2.9,12.3833,"3,062",0,"7,675",6,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,"1,567",0,"2,580",0,3.8,,391,0,"1,113",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"2,926",10,"4,027",24,7.0333,0.2,965,5,"1,821",5,,,,,,,,,,
