Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of internal moderators employed by the provider,Total number,0,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of external moderators contracted by the provider,Total number,76,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,Total number,79,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,cs,25,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,de,2,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,en,63,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,es,8,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,fr,2,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,it,2,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pl,1,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sk,19,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,hu,1,
Only for VLOPs,XNXX.COM,2026-01-01/2026-06-30,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pt,2,
