Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,"26,245,490"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,AT,"376,155"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BE,"575,191"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BG,"197,392"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CY,"27,540"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CZ,"622,482"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DE,"1,914,627"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DK,"418,887"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,EE,"5,976"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,ES,"7,322,629"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FI,"403,735"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FR,"3,166,206"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,GR,"589,191"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HR,"252,572"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HU,"652,616"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IE,"431,210"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IT,"3,785,858"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LT,"65,673"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LU,"34,460"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LV,"114,556"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,MT,"31,146"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,NL,"1,001,399"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PL,"1,735,380"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PT,"897,230"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,RO,"625,285"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SE,"755,727"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SI,"52,439"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SK,"189,928"
