Applicability,Service,Reporting period,Indicator,Value
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Summary of the content moderation engaged in at the providers' own initiative,"WGCZ has taken 6,268 measures from own initiative based on illegal content as well as 182,360 measures stemming based on the breach of ToS. Across both illegal-content and ToS measures, the platform imposed 2,180 content removals (331 illegal-content; 1,849 ToS), 167,579 content disables (5,398; 162,181), 14,688 demotions (all ToS), 56 account suspensions (6; 50), and 4,125 account terminations (533; 3,592). No age, interaction, labelling, other visibility, monetary, or service-provision restrictions were reported. The provider has not implemented any substantive changes to how reported numbers are calculted."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"WGCZ uses automated tools as the first layer of its multi-layered content moderation process. The tools screen eligible content and metadata for indicators of content that may be illegal or incompatible with the platform’s Terms of Service. Detection results, such as flags, matches, risk indicators and keyword hits, are displayed in the moderation interface and used to identify, prioritise and refer potentially problematic content for human review. Automated tools support the Content Moderators’ assessment but do not make final enforcement decisions.

WGCZ implements human verification following detection. Content Moderators review the content, metadata, context and relevant detection results before deciding on the appropriate action. New uploaded videos remain non-public and ghosted by default until validation. Where no violation is confirmed, the content is validated or restored. Where the assessment remains uncertain, the content is classified as “Doubt”, remains ghosted and is escalated for advanced review. Where illegal or Terms-of-Service-incompatible content is confirmed, WGCZ may require corrective changes, ghost or take down the content pending deletion, permanently delete the content, suspend or terminate the uploader’s account, and apply escalation measures for repeated violations. Confirmed serious illegal content may also result in data preservation and cooperation with law-enforcement authorities."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Qualitative description of the automated means,"WGCZ uses several automated measures to detect potential violations of the Terms and Conditions or legal rules across user-uploaded content. These automated measures flag potentially illegal or Terms-and-Conditions-incompatible content for further inspection by human moderators; no moderation decision is made solely by automated means.
Vercury is a fingerprinting system relying on an internal signature database and is used for video monitoring. It compares file signatures against the database, generates a match score and, depending on the score, may block content or refer it for review, primarily targeting illegal material.
Hive uses AI to analyse images and videos for behaviour, context or potentially harmful activity and is mainly used to identify Terms-and-Conditions-incompatible content.
Google SafetyNet API uses AI to analyse images and videos and assigns an underage-risk score. Content is categorised according to the detected risk level, including Very High, High or Medium for pictures and High or Medium for videos.
Safer maintains a fingerprint database of known video content to detect and flag matches. Safer database focuses on Child Sexual Abuse Material (CSAM).
Keyword search and matching uses blocklists and greylists for comments. Blocklist matches prevent publication, while greylist matches are flagged for further analysis and human review.
OffLimits is a hash-checking service used to identify known flagged files: WGCZ submits a file hash and OffLimits indicates whether the file is flagged in its database. The OffLimits hash list focuses on Child Sexual Abuse Material (CSAM).
StopNCII focuses on detecting and preventing the sharing of non-consensual intimate images. StopNCII operates through a synchronised signature database using MD5 signatures for videos and PDQ signatures for pictures. 
Description of indicators of accuracy of automated tools:
Accuracy = (number of Detected and Deleted + number of Not Detected and Not Deleted) / total number of Video Uploaded
Precision = number of Detected Deleted / number of Detected
Recall = number of Detected deleted / all documents deleted"
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Qualitative description of indicators of accuracy and possible rate of error of automated means,"WGCZ reports accuracy, precision and recall separately by automated tool and content type, using the same results for the total and own-initiative scopes. For video moderation, Vercury recorded 93.05% accuracy, 13.47% precision and 1.41% recall; Safer recorded 82.44% accuracy, 40.00% precision and 0.04% recall; OffLimit recorded 0% for all three indicators; StopNCII recorded 94.37% accuracy, 100.00% precision and 0.40% recall; and Google Safety recorded 89.16% accuracy, 5.71% precision and 0.04% recall. For image moderation, Google Safety recorded 34.40% accuracy, 27.59% precision and 1.43% recall. Hive recorded 25.08% accuracy, 5.53% precision and 4.64% recall for videos, compared with 0.58% accuracy, 0.08% precision and 0% recall for images. Results vary materially by language and content type: reported language-level accuracy ranges from 38.18% to 96.12% for Vercury videos, 37.74% to 84.93% for Safer videos, 50.00% to 96.99% for StopNCII videos, 38.18% to 93.82% for Google Safety videos, 0% to 77.78% for Google Safety images, 0% to 66.67% for Hive videos and 0% to 50.00% for Hive images. Precision and recall are frequently zero in individual language groups, indicating limited confirmed positive cases or detections in those control groups. For NAM-related moderation, no measures were taken solely by automated means, 9,012 measures were non-automated, and accuracy, precision and recall were marked as not applicable; no separate human-review accuracy indicator was reported."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Specification of the precise purposes to apply automated means,"WGCZ uses automated means to support detection, prioritisation and processing of potentially illegal or incompatible content and to improve moderation efficiency. 
The automated measures are connected mostly with content moderation risks. Below is the list of mitigation measures and risks which these measures cover. This list was taken from the 2026 XVideos Risk Assessment.

Vercury
• SR-IC-01 – Uploading non-consensual intimate images or videos, including revenge pornography and deepfakes.
• SR-IC-02 – Uploading prohibited sexual or exploitative material, including coercion or trafficking content.
• SR-IC-05 – Distribution of CSAM through uploaded images or videos.
• SR-IC-08 – Uploading or sharing content depicting cruelty to or abuse of animals.
• SR-IC-10 – Sharing copyrighted or other IP-protected material.
• SR-PF-01 – Uploading or sharing revenge pornography or leaked private content.
• SR-PW-03 – Psychological harm caused by sharing or distributing non-consensual intimate content.

Hive
• SR-GB-01 – Content depicting violence, coercion or gender-based abuse.
• SR-HD-01 – Degrading or dehumanising sexual content that undermines human dignity.
• SR-IC-02 – Prohibited sexual or exploitative material, including coercion or trafficking content.
• SR-IC-08 – Content depicting cruelty to or abuse of animals.
• SR-IC-13 – Content providing instructions concerning drugs, medicines or related substances.
• SR-IC-14 – Ads or instructions concerning weapons.
• SR-PH-04 – Explicit content involving drug use or unregulated substances.
• SR-PW-01 – Exposure to violent or extreme sexual material.

Google SafetyNet
• SR-CP-09 – Cybersecurity incidents exposing sensitive user or channel-owner data.
• SR-IC-05 – Distribution of CSAM through uploaded images or videos.
• SR-PM-02 – Uploading or sharing CSAM or sexualised images of minors.
• SR-PM-11 – Minors using regular accounts to upload content, potentially resulting in dissemination of CSAM.

Safer
• SR-IC-01 – Uploading non-consensual intimate images or videos, including revenge pornography and deepfakes.
• SR-IC-02 – Uploading prohibited sexual or exploitative material, including coercion or trafficking content.
• SR-IC-05 – Distribution of CSAM through uploaded images or videos.
• SR-PF-01 – Uploading or sharing revenge pornography or leaked private content.
• SR-PW-03 – Psychological harm caused by sharing or distributing non-consensual intimate content.

OffLimits
• SR-IC-05 – Distribution of CSAM through uploaded images or videos.
• SR-PM-02 – Uploading or sharing CSAM or sexualised images of minors.
• SR-PM-11 – Minors using regular accounts to upload content, potentially resulting in dissemination of CSAM.

Keyword search
• SR-CE-01 – Political disinformation or election-related falsehoods in titles, comments or other content.
• SR-CE-02 – Coordinated use of comments or titles to spread mass disinformation.
• SR-CE-05 – Pornographic disinformation targeting candidates, activists or journalists.
• SR-GB-03 – Threats, brigading, stalking or harassment targeting women.
• SR-GB-06 – False sexualised narratives or deepfake pornography targeting women in public roles.
• SR-IC-03 – Comments promoting or soliciting sexual services.
• SR-IC-04 – Comments advertising or soliciting coerced sexual services.
• SR-IC-06 – Comments containing links to externally hosted CSAM.
• etc.

StopNCII
• SR-GB-04 – Stolen, coerced or fabricated intimate images used for extortion.
• SR-GB-05 – Non-consensual sexual content or AI-generated deepfake pornography targeting women.
• SR-IC-01 – Uploading non-consensual intimate images or videos, including revenge pornography and deepfakes.
• SR-PF-01 – Uploading or sharing revenge pornography or leaked private content.
• SR-PF-04 – Publishing manipulated images of real individuals, including deepfakes.
• SR-PW-03 – Psychological harm caused by sharing or distributing non-consensual intimate content."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Safeguards applied to the use of automated means,"WGCZ applies safeguards designed to reduce the risk of incorrect outcomes and ensure appropriate human oversight, recognising that automated tools can generate false positives. Content flagged by Vercury fingerprinting, Hive AI analysis, Google SafetyNet API, and Safer matching is subject to manual review. For keyword-based tools, safeguards distinguish between block lists (where the user is shown an error message and the data is not retained) and grey lists (where content is flagged and reviewed). most of automated tools are third-party solutions and WGCZ therefore has limited influence over their underlying development; however, WGCZ improves its proprietary systems based on moderator feedback and regularly updates keyword databases to address evolving jargon and abusive user practices."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,High-level description of the content moderation governance structure,"WGCZ’s content moderation governance is centered on the Content Moderation Team, which performs day-to-day moderation and applies the platform’s policies and procedures. The Compliance Officer and the supporting compliance team oversee compliance with applicable DSA obligations and coordinate with the Content Moderation Team, while Senior Management provides general oversight and supports appropriate resources and accountability."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Qualifications of the human resources dedicated to content moderation,"Moderators are required to have advanced English proficiency and strong PC skills. Formal education requirements are not presented as the determining factor; instead, suitability is largely experience-based, reflecting time spent monitoring content and developing the judgement and sensitivity required for adult-content environments. The moderation function is supported by language coverage for EU languages. The covered languages include, in particular, Czech, Deutsch, Spanish, Hungarian, Italian, Polish, Slovak, English and Portuguese. Moderators use translation tools where coverage is not directly available, and maintains keyword databases including variations across EU languages."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Training given to human resources dedicated to content moderation,"Moderators receive ongoing training tailored to both general and specific content moderation challenges. The Head of the Moderation Team and an experienced moderator deliver the moderation-specific training. New moderators begin by observing experienced colleagues and then gradually take on responsibilities under supervision, with continuous feedback and support available after they start working independently. Training covers the responsible handling of explicit content, the identification and appropriate processing of illegal content, and the application of internal moderation procedures. The Compliance Officer also provides dedicated training on DSA requirements to ensure that all relevant employees understand their obligations."
Only for VLOPs and VLOSEs,XVIDEOS.COM,2026-01-01/2026-06-30,Support given to human resources dedicated to content moderation ,"WGCZ provides continous support for its moderators. All moderators are provided with ergonomic workstations and subsidied access to fitness/wellness facilities, as well as mental well-being support through an open culture, confidential consultation options, flexibility in working arrangements (including, where appropriate, flexible hours, shift flexibility and remote work), and regular breaks."
