Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,XVIDEOS.COM,2026-01-01/2026-06-30,TOTAL,,TOTAL,7,5,0,0,22,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,1,0,0,0,2,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,1,0,0,192,2,0,192,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,2,2,0,0,2,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,1,0,99,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,1,1,0,189,0,0,0,,,,,,,
