Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,TOTAL,,"10,460",0,"12,582",0,15.02,0.00,80,0,"12,502",0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,5,0,5,0,48.03,0.00,5,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,5,0,5,0,48.03,0.00,5,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"9,255",0,"9,255",0,20.61,0.00,0,0,"9,255",0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,"9,255",0,"9,255",0,20.61,0.00,0,0,"9,255",0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
