Applicability,Service,"Reporting period",Section,Indicator,Scope,Value,"Contextual Information"
All,XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Total number",2193,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Decisions upheld",1656,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Decisions partially reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Decisions reversed",87,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Median time",760.7,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of complaints submitted to the internal-complaints mechanism","Decision omitted",450,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Number of restrictions newly imposed as a result of an internal complaint","Total number",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to remove or disable access to or restrict visibility of information","Total number",1649,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to remove or disable access to or restrict visibility of information","Decisions upheld",1562,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to remove or disable access to or restrict visibility of information","Decisions partially reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to remove or disable access to or restrict visibility of information","Decisions reversed",87,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to remove or disable access to or restrict visibility of information","Median time",789.41,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate the provision of the service","Total number",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate the provision of the service","Decisions upheld",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate the provision of the service","Decisions partially reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate the provision of the service","Decisions reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate the provision of the service","Median time",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate an account","Total number",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate an account","Decisions upheld",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate an account","Decisions partially reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate an account","Decisions reversed",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to suspend or terminate an account","Median time",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to restrict the ability to monetise information","Total number",0,
"Only for providers of online platforms",XVIDEOS.COM,2025-07-01/2025-12-31,"Internal complaints mechanism","Complaint regarding a decision to restrict the ability to monetise information","Decisions upheld",0,
