Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,"171,250",
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"26,390",
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9305,Vercucy (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.1347,Vercucy (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.0141,Vercucy (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.8244,Safer (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.4000,Safer (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.0004,Safer (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.0000,OffLimit (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.0000,OffLimit (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.0000,OffLimit (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9437,StopNcii (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,1.0000,StopNcii (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.0040,StopNcii (videos)
All,XVIDEOS.COM,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.8916,GoogleSafety (videos)
