Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,TOTAL,,1269,0,1182,,332.95,,0,0,391,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,29,0,28,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,22,0,22,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""3.4. Animal Harm"" (Community Guidelines) or the Sustainable Sourcing & Animal Welfare Policy (Sections 1, 2.3.4, 3), not captured by any other sub-category.",7,0,6,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,780,0,756,,371.55,,0,0,293,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,2,0,2,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,34,0,32,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,603,0,586,,371.50,,0,0,264,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,103,0,102,,408.90,,0,0,27,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""3.1.6 irrelevant information"" (Ratings and Reviews Terms of Use) or the Partner Program Platform Rules, not captured by other sub-categories.",38,0,38,,401.18,,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,10,0,10,,159.92,,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,3,0,3,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,0,0,,,,,0,0,0,0,,,,,,,,,,
