Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,202,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,128,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,70,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,18.49,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,6,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,182,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,118,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,64,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,17.06,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions upheld,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Median time,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,15,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,9,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,6,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,73.47,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,16,"Out of the 16 disputes submitted, 15 cases were formally rejected as ""ineligible"" (outside the scope of Art. 21 DSA) by the out-of-court dispute settlement body and are thus reported under 'Decision omitted'. One case was resolved procedurally by the platform prior to a formal decision and is likewise reported under 'Decision omitted'. Cases are recorded based on the date of notification to the platform."
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,16,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content ,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,0,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,0,
