Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,828,"Since we employ automated means only for Zalando's own-initiative moderation, the value for 'Total number' mirrors the one provided for the 'Own-initiative' scope.

The language breakdown will not match the total number of measures. This variance is due to language-agnostic content (such as names and emojis) and text in non-EU languages (e.g., Norwegian)."
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,2745,"The language breakdown will not match the total number of measures. This variance is due to language-agnostic content (such as names and emojis) and text in non-EU languages (e.g., Norwegian)."
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9962,"Since we employ automated means only for Zalando's own-initiative moderation, the value for 'Total number' mirrors the one provided for the 'Own-initiative' scope."
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.7168,"Since we employ automated means only for Zalando's own-initiative moderation, the value for 'Total number' mirrors the one provided for the 'Own-initiative' scope."
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.2010,"Since we employ automated means only for Zalando's own-initiative moderation, the value for 'Total number' mirrors the one provided for the 'Own-initiative' scope."
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,828,
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,2354,
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,0.9962,Zalando samples and measures the quality of automated enforcements and unflagged items in order to assess the overall accuracy for its automated actions.
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,0.7168,Zalando sampled 44% of automated decisions in H1 2026 to re-review these decisions with moderators.
All,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,0.2010,"Zalando reviewed 9.8% of unflagged content in H1 2026 to establish recall for total content volumes. To prevent erroneous takedowns of legitimate listings, this classifier is deliberately tuned to be ultra-conservative, acting only on clear-cut violations while routing ambiguous cases to human workflows."
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,1269,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,bg,1,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,cs,15,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,da,44,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,de,34,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,el,0,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,en,272,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,es,22,
Only for VLOPs,Zalando,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,et,28,
