Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,729,
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,3020,
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,729,
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,2543,
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
All,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,1668,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,"During this initial reporting period, the volume of automated moderation per classifier remained below the threshold required to produce statistically significant values for Precision, Recall, and Accuracy. To ensure data integrity during this calibration phase, we conducted a high-level baseline assessment of our aggregate moderation performance. A rigorous framework to isolate and calculate these metrics for each individual classifier will provide more granular transparency starting in Q1 2026."
